:END_ID(Level1),:START_ID(Dataset)
-800626036669221161,-6489072398504412498
-7067837179894261810,-3955510240759364446
6679065021589206617,-3955510240759364446
4153136126357581913,1856227969832394629
-6922308868659308793,1856227969832394629
2289070262994884513,1856227969832394629
3478378244880288574,1856227969832394629
1750666408925683872,1856227969832394629
6576125336161267751,1979998253126674483
8720217474592990377,1979998253126674483
1510300317367285734,1979998253126674483
6648214546940276374,1979998253126674483
-6047833959276388776,1979998253126674483
6391286117838481101,1979998253126674483
-2224355798515472837,1979998253126674483
-2528665877930558166,1979998253126674483
-8732466119691306406,1979998253126674483
-1244387575472197751,1979998253126674483
7266873671265161373,1979998253126674483
1365740329459876272,1979998253126674483
-2389691981952362838,1979998253126674483
-6470990903961863140,1979998253126674483
-4178186044789463636,1979998253126674483
2739004591153868085,1979998253126674483
-7093380545386074572,-5052497475947966130
-8230138457708887321,4503156142468973269
-2713833948912949817,4503156142468973269
4861581473641195271,4503156142468973269
-4077666330496406984,4503156142468973269
1418006332910571579,4503156142468973269
-779333924076914277,4503156142468973269
-9026864581643525199,4503156142468973269
2331615812399069303,4503156142468973269
-8764139151214258370,4503156142468973269
-5310850046061814418,4503156142468973269
6118042292917759080,4503156142468973269
5812207779479703633,4503156142468973269
7233246472729756425,4503156142468973269
-6956681122795750154,4503156142468973269
946014948769129954,4503156142468973269
8041221892699471296,4503156142468973269
421395558722241920,4503156142468973269
6502588112974934589,4503156142468973269
6919987497024883569,4503156142468973269
1888820995145860710,4503156142468973269
6496933127210113240,4503156142468973269
-3087106297530196526,4503156142468973269
8817316715843395901,4503156142468973269
-4712998789662947809,4503156142468973269
3455330761259607857,4503156142468973269
-782349042500212986,4503156142468973269
-7842896140833011297,4503156142468973269
4492505119998175768,4503156142468973269
-7915064193955355923,4503156142468973269
8316219357146938397,4503156142468973269
-3025494408257515552,4503156142468973269
4707491900022145998,4503156142468973269
5785597779061604554,4503156142468973269
6498197590570440532,4503156142468973269
8323728031629680065,4503156142468973269
3355165041991569699,4503156142468973269
-8777600315782521504,4503156142468973269
7212025143214862556,4503156142468973269
4973594246502797706,4503156142468973269
6531224813455759429,4503156142468973269
-4092580680240415037,4503156142468973269
-1625618115760929660,4503156142468973269
7729322857673413963,7803108535304783415
-5660444467711734532,7803108535304783415
4913311214468791675,7803108535304783415
8350998754625450802,7803108535304783415
-7065506136663842497,7803108535304783415
108315195465864746,7803108535304783415
1687412071145401307,7803108535304783415
2138407249436555666,7803108535304783415
-7851970669508806902,7803108535304783415
881633468530361215,4543227743799353743
8749275272353374748,8939325786602577317
-1207522159234244421,8939325786602577317
-1249263575317594252,5796272586079160516
3053928330485680958,5796272586079160516
4887601237508554058,5796272586079160516
3796086421047629896,5796272586079160516
-485306115401237478,5796272586079160516
3987440253376158890,5796272586079160516
-4317642656771015656,5796272586079160516
242641889907430018,5796272586079160516
-8291275564046804357,5796272586079160516
-8592530072172397759,5796272586079160516
4245852231295632468,5796272586079160516
8179081761453283880,5796272586079160516
-5733636737234713888,5796272586079160516
-231065437971962277,5796272586079160516
1778655208572617147,5796272586079160516
3169167289853470701,5796272586079160516
6035370997155344415,5796272586079160516
2379487131299108791,5796272586079160516
